Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes, SVG Info
B,22,,ཉེར་གཉིས་པ་དཀའ་ཐུབ་གྲོལ་བ་ནི།,Chapter 22: Completing austerities.,,,Vol. Ca (5) and vol. Cha (6) pp. 18-19.,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 25a.6-27b.6",,,"<svg xmlns='http://www.w3.org/2000/svg'><g><path xmlns='http://www.w3.org/2000/svg' d='M3551,12289c83.4-24.6,120.2-63.8,147-102.8c43.8-63.8,82.4-129.2,100-214c13-63.2,21.4-110.2,129.4-143.2c0,0,66-24,90-75c24-51,33-105,66-132c33-27,27-75,51-117c24-42,57-69,93-81c36-12,111,21,123,57c9.4,28.4-24,60-3,105c15.4,33.2,30,42,57,66c27,24,48,60,66,78s64.4,74.4,78,105c36,81,18,90,15,159c-1,24.2-21,99-27,120s-9,69-87,78c-78,9-231,39-264,174c-15,61.2,18,156,81,168c63,12,138,33,192,90c54,57,67.6,159,33,207c-39,54-116.4,49.8-171,57c-45,6-99,18-147,48c-48,30-108,81-156,147c-21.8,30-69,126-84,132c-15,6-161.6-102.4-180-120c-63-60-174-195-195-222c-21-27-114-177-138-198s-174-159-186-180c-12-21-57-69-18-87s126-81,195-90C3480.4,12309,3551,12289,3551,12289z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/><path xmlns='http://www.w3.org/2000/svg' d='M11282.4,6716.6c16,6.6,26.6,17.4,26.6,17.4s36,28,72,48s-8,48,32,76s28,76,60,80s140-20,180,0s124,40,144,40s108,64,136,80s92,36,124,84s84,60,140,72s120,32,136,36c5.2,1.4,13.4,2.2,23.4,3.2l-23.4-3.2c0,0,3,19.2-6,37.2c-9,18-15,45-6,63s-16,48-16,48c0,9,4,39,4,51s-42,18-57,24c-15,6-32,54-32,54c-15,30,2,84,11,96c9,12,57,63,63,78c6,15-21,54-30,66c-9,12-15,51-15,63s-33,48-69,69s-63,48-63,48c26.8,51.2,79.8,172.2,126,237c60,84,189,234,257.8,311.6c51.8,58.6,132,168,228,198c96,30,207,108.2,249,138.2c42,30,105,99,117,135c12,36,36,93,75,123c134.6,103.6,24.2,258.2,66,300c60,60,147,9,189,9c42,0,165-9,219,27c54,36,99,101.8,99,143.8c0,42-42,138.2,12,162.2c54,24,162,120,189,171c34.6,65.4-18,174,135,231c60.8,22.6,162.6,135.2,200.8,231c30,75-15,168-62.8,225c-20.8,24.8-63.2,72-72.2,111c-5.6,24.2,6,69,54,75c48,6,189-9,219,21c30,30-24,60-42,78c-18,18-105,33-129,33c-24,0-48,27-66,75c-19,50.8-23.8,111,18.2,117c42,6,768,18,768,18l12,300l241.8,3.8c0,0,40,332,36,356s-284,172-368,212s-352,160-464,220c-25,13.4-112,36-116,52s76,76,72,164c-1.2,28-19.6,82.4-60,112c-60,44-111.2,64.8-192,88c-56,16-132,12-136,32s32,128,44,156s48,184,44,252s-20,140-20,140l-3978.4,18.2l-324-312c0,0-180-162-300-240s-312-162-270-186c42-24,108-48,180-18c72,30,132,30,216,24c84-6,162-48,240-54s138-48,168-78s120.6-66.2,84.6-144.2c-25.2-54.4-45.2-138.8-48.6-197.8c-5.4-99.2-128.4-147.2-186-192c-51.2-39.8-269.4-202.6-414-264c-134.4-57.2-252-222-306-270c-54-48-102-54-78-102c24-48,36-216-30-270c-66-54-155.4-93-194.4-138c-26.4-30.4-148.2-168.4-246-216c-111-54-285-162-342-228c-46.4-53.8-246.4-125.6-321-204c-40.6-42.6-165.4-60.8-351-75c-190.2-14.6-214-195-166-243s116.6-85,144-102c33.8-20.8,54.8-17.8,78.8-83.8c24-66,59.2-108.2,5.2-132.2c-54-24-101.2-98.8-152.2-113.8c-34.6-10.2-162.4-17.2-172-108.2c-22.6-218.4-56.8-279-68-299.8c-22.8-42.2,13-155.8,0-210c-9.8-41.2-4-174.2,20-222.2s52-83.8,94-92.8c29.4-6.2,79.4,4.2,92,44.8c19,60.2,11.2,107.6,12,156c1,54.2-41,126.2-17,168.2c24,42,21,159,69,183c48,24,63-3,195,63s149.2,83.8,185.2,137.8c36,54,84,90,126,72c42-18,108-78,162-90c54-12,174.8-38.8,234.8-2.8c60,36,72,39,126,81c54,42,150,45,186,75c36,30,108,126,162,168c48.2,37.4,60,33,126,57c7,2.6,78.2,6.8,84,12c0,0,102,12,162,6c60-6,149.6-50.6,179.4-54.2c75.6-8.8,324,18,468,48s336.6,63.2,468.6,60.2c108.2-2.4,309,42,375,42s342.2,15.8,432-9c87-24,244.6-187.2,298.6-217.2c54-30,130-122,184-182c54-60,108-108,72-120c-36-12-582-72-762-150c-180-78-101-244.8-180-312c-59.6-50.8-152.6-131.8-104.6-260.8c31.2-83.6,84.4-155.6,96-252c0.6-5.8,1.8-11.4,3.2-16.8c0,0-24.2-199.2-33.2-232.2c-9-33-120-372-126-384c-6-12-96-228-66-300c0,0,36-117,63-135c27-18,111-87,120-96c0,0,78-171,99-192c21-21,45.6-53.2,81-60c63-12,114,18,138,33c24,15,58.8,42.2,75,26c28.2-28.2,89.8-104.4,138.8-102.8L11282.4,6716.6z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></g></svg>"
B,22,,དེ་ལྟར་དཀའ་བ་སྤྱོད་པའི་དུས་ལོ་དྲུག་འདས་ནས་འདི་སྙམ་དུ་ད་ལྟར་,"After more than six years of deprivation, the Bodhisattva reflected:",,,དེ་ནས་ཕྱོགས་གཅིག་ཏུ་ཁྲུས་མཛད་ཅིང་། མི་རོ་ལ་དབུ་སྔས་མཛད་དེ་གཟིམས་པ་འབྲི་སྟེ་དཀའ་བ་སྤྱོད་པའི་སྐོར་རོ། །   ༼ཆ༽ དེ་ནས་ཕྱོགས་གཅིག་ཏུ་ཁྲུས་མཛད་པ་དང་། འཁོར་ལྔ་ཀུན་ཏུ་རྒྱུའི་ཆ་བྱད་གཞན་དུ་འགྲོ་བ་དང་། འབྲས་ཆན་གསོལ་བའི་ཚུལ་བྱ། དེ་ནས་བུ་མོ་དགའ་མོ་དང་། དགའ་སྟོབས་མས་འོ་ཐུག་ཕུལ་བ་དང་། གསེར་སྣོད་ཆུ་བོ་ནེ་རཉྫ་ནར་བོར་བ་དང་། དེ་ཀླུས་ཁྱེར་བ་དང་། བརྒྱ་བྱིན་བྱ་ཁྱུང་དུ་སྤྲུལ་ནས་དེ་ཕྲོགས་ཏེ་ལྷ་ཡུལ་དུ་ཁྱེར་བ་དང་།,"The Buddha takes a bath. He then sleeps with a corpse as his pillow. [Chapter Cha]: The Buddha takes a bath. The five disciples eat cooked rice. Two girls named Nandā (dga' mo) and Nandabalā (dga' stobs ma) offer milk porridge to the Buddha. The golden bowl gets lost in River Nairañjanā. A nāga collects it, but Indra (brgya byin), in guise of a garuda, steals it and takes it to the realm of gods.",25a.6-7,,
B,22,,གང་སུ་དག་སྡུག་བསྔལ་སྤོང་བར་འདོད་པ་ཐམས་ཅད་ནི་འདི་ཙམ་དུ་ཟད་དེ།,"“Those who in future wish to put an end to suffering, will, in this way [i.e., the way of asceticism], extinguish all desire –",,,,,25a.7,,
B,22,,འདི་ཡང་ཤེས་པ་དང་མཐོང་བ་དང་བྱང་ཆུབ་ལ་རེག་པར་ནུས་པ་མ་ཡིན་ནོ།,but they will achieve no more than that; they will not be able to understand or see or reach perfect enlightenment.,,,,,25a.7-25b.1,,
B,22,,།བདག་སྔོན་ཞིང་པའི་གྲོང་དུ་བསམ་གཏན་བསྒྲུབས་པ་དེ་ལྟ་བུ་ལ་བརྟེན་ནས་བྱང་ཆུབ་སྒྲུབ་པར་ནུས་ན།,"It is by meditating as I did in the past, in the farmers’ village, that I will be able to attain enlightenment.",,,,,25b.3-4,,
B,22,,རིད་ཅིང་ཉམས་ཆུང་བས་དེ་ཡང་བསྐྱེད་མི་ནུས་ཏེ།,"But now, in the state of weakness and emaciation that I am in, I will not be able to attain it.",,,,,25b.4,,
B,22,,ལུས་མདངས་སྟོབས་དང་ལྡན་པར་བྱའོ་དགོངས་ནས་,My body must regain its strength and splendor.”,,,,,N/A,,"Although it is stronly implied, the Vinayavastu passage does not explicitly include this thought. "
B,22,,ལུས་མདངས་སྟོབས་དང་ལྡན་པར་བྱའོ་དགོངས་ནས་དབུགས་འབྱུང་རྔུབ་ཅི་བདེར་མཛད་ཅིང་། འབྲས་ཆན་སོགས་ཁ་ཟས། རགས་པ་ཡང་གསོལ།,"Letting himself draw breath freely, Siddhārtha began to eat the rice milk-soup, and other more solid fare.",,,,,25b.4-5,,
B,22,,ཏིལ་མར་གྱིས་བྱུག་ཤིང་ཆུ་འཇམ་པོས་ཁྲུས་མཛད་དོ།,He rubbed sesame oil all over his body and washed it with warm water.,,,,,25b.5-6,,
B,22,,།དེར་རིམ་གྲོ་པ་ལྔ་པོ་མ་དད་པར་གྱུར་ཏེ།,"Seeing the Bodhisattva’s actions, his five companions lost confidence in him.",,,,,25b.6,,
B,22,,ཤེས་ལྡན་དག་དགེ་སྦྱོང་གཽ་ཏ་མ་འདི་ནི་སྤོང་བ་ལས་ཉམ་པ་ཡིན་ཏེ།,"“Alas, friends, the ascetic Gautama is wrong to renounce the path of the wise ones.",,,,,25b.6-7,,
B,22,,ད་ནི་འདིས་ཅུང་ཟད་ཀྱང་ཐོབ་པར་མི་ནུས་སོ་ཞེས།,Now his quest will come to naught.”,,,,,25b.7,,
B,22,,བྱང་ཆུབ་སེམས་དཔའ་བོར་ནས་ཝ་ར་ནཱ་སཱིར་སོང་སྟེ། ལྔ་སྡེ་ཞེས་གྲགས་སོ།,"Forsaking the Bodhisattva, the companions left for Benaras, where they became famous under the name of the Five Ascetics (Lnga sde, Pañca-bhadra-vargīya).",,,,,26a.1-2,,
B,22,,།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་རིམ་གྱིས་སྐུའི་མཐུ་བསྐྱེད་ནས་སྡེ་ཅན་གྱི་གྲོང་དུ་གཤེགས་སོ།,"Little by little, the Bodhisattva regained his strength and began to wend his way to the village of Senāpurī (Sde can).",,,,,26a.2,,
B,22,,།དེར་ཡུལ་དེའི་དཔོན་པོ་སྡེ་ཅན་ཞེས་བྱ་བ་ལ་བུ་མོ་དགའ་མ་དང་དགའ་སྟོབས་མ་ཞེས་བྱ་བ་གཉིས་ཡོད་དོ།,"The eponymous headman there had two daughters, Nandā (Dga’-mo) and Nandabalā (Dga’-stobs),",,,,,26a.2-3,,
B,22,,།དེ་གཉིས་བུད་མེད་རིན་པོ་ཆེ་ལྟར་ཕུན་སུམ་ཚོགས་པ་ཡིན་ལ།,both graced with wonderful qualities.,,,,,N/A,,
B,22,,དེ་དག་གི་བྱང་ཆུབ་སེམས་དཔའ་འཁོར་ལོས་བསྒྱུར་བར་འགྱུར་བ་ནི་ཐོས།,Since their early childhood they had heard that Siddhārtha would be the monarch of an entire universe.,,,,,26a.3-4,,
B,22,,རབ་ཏུ་བྱུང་བ་ནི་མ་ཐོས་ལ། བུད་མེད་གང་དག་ཚུལ་ཁྲིམས་དང་། བརྟུལ་ཞུགས་འདི་དང་འདི་ལྟ་བུ་དག་ལོ་བཅུ་གཉིས་སུ་བསྟེན་ཞིང་།,"They had also heard that any woman who should cultivate perfect manners and morality for twelve years,",,,,,26a.4,,
