Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
,,,ཉེར་དགུ་པ་ཉེ་བའི་ལྔ་སྡེ་སོགས་གྲོལ་བ་ནི།,Chpater 29: Liberation of the disciples and others,,,Vol. Ta (9) pp. 20-21.,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 45b.5-51b.7",,
,,,དེ་ནས་བཅོམ་ལྡན་འདས་ཝཱ་རཱ་ཎ་སཱིར་འབབ་ཆུ་གནོད་པ་ཅན་གྱི་འགྲམ་དུ་བཞུགས་པ་ན།  ཝཱ་རཱ་ཎ་སཱིའི་རིགས་གྱི་གཙོ་བོའི་བུ་གྲགས་པ་ཞེས་བྱ་བ་ཡོད་ལ།,Then the Bhagavan was staying on the banks of the River Nairanjana at Benares. The son of the chief lord of Varanasi named Yaśas was there.,,,ཁྱིམ་གཅིག་ན་གྲགས་པ་བུད་མེད་ཀྱི་འཁོར་གྱི་སྐོར་བ་དང་། ཁྱིམ་གཅིག་ཕྱོགས་གཅིག་ཏུ་བུད་མེད་རྣམས་གཉིད་དུ་སོང་བ། གྲགས་པ་སྒོ་ཕྱེ་སྟེ་འགྲོ། གྲགས་པའི་ཕ་སྒྲོན་མེ་ཐོགས་ཏེ་འཚོལ་བ་དང་། ཆུ་འགྲམ་ཞིག་ཏུ་ལྷམ་བཞག ཆུའི་ཕར་ཕྱོགས་ན་སངས་རྒྱས་ཀྱི་དྲུང་དུ་གྲགས་པ་ཆོས་ཉན་པ་དང་། དེ་དང་ཉེ་བར་གྲགས་པའི་ཕ་ལངས་ནས་འདུག་པའི་ཚུལ་འབྲི། ཡང་ཕྱོགས་གཅིག་ན་ཉེ་བའི་ལྔ་སྡེ་སྟེ། དགེ་སློང་ལྔ་སངས་རྒྱས་ལ་ཆོས་ཉན་པའི་ཚུལ་དང་། དེ་རྣམས་ཀྱི་ཉེ་དུ་མང་པོ་ཚུར་ཡོང་བའི་རྣམ་པ་འབྲི། ཡང་སྐྱེད་མོས་ཚལ་གཅིག་ཏུ། མི་མང་པོ་བུད་མེད་རོལ་མོ་ཐོགས་པ་མང་པོ་དང་ལྷན་ཅིག་ཏུ་འདུག་པ་ལས རོལ་མོ་ཐོགས་པའི་བུད་མེད་གཅིག་བྲོས་ཤིང་མི་གཅིག་འཚོལ་དུ་འགྲོ་བ་སངས་རྒྱས་དང་མཇལ་བ་དང་།,"In a home, there is Yaśas (grags pa) [and] a group of women in a circle. In a second scene, in a home all women fall asleep while Yaśas opens the door and leaves. With a lamp in his hand, his father goes to look for him. He leaves his shoes at the riverside and then goes to listen to the Buddha's teaching on the other side of the river. 
     His father stands near the Buddha's teaching site. The five disciples listen to the Buddha's teaching while their relatives get ready to come to the Buddha. In a garden, there is a crowd. And there are many women with music instruments. One woman with an instrument runs away and one person goes looking for her and then meets the Buddha.",,,
,,,རོལ་མོ་ཐོགས་པའི་བུད་མེད་མང་པོ་དང་ལྷན་ཅིག་ཏུ་རྩེ་བར་བྱེད་པ་ལས།  ནམ་ཕྱེད་ན་གཉིད་སད་དེ་བུད་མེད་ཀྱི་འཁོར་ལ་བལྟས་པ་ན་ཐམས་ཅད་གཉིད་ཀྱིས་མྱོས་ཏེ།  གོས་དང་བྲལ་ཞིང་སྐྲ་གྲོལ་བ་སོགས་འདུག་ཚུལ་སྣ་ཚོགས་པ་མཐོང་བས་དུར་ཁྲོད་ཀྱི་འདུ་ཤེས་སྐྱེས་ནས་བདག་ནི་གཙེས་སོ།,,,,,,,,
,,,།བདག་ནི་ཉམས་སོ། །ཞེས་སྐད་ཆེན་པོ་ཕྱུང་ནས་སོང་བ་ན་མི་མ་ཡིན་རྣམས་ཀྱིས་སྒོ་ཕྱེ་ཞིང་།  སྐད་ཀྱང་སྐྱེ་བོས་མི་ཐོས་པར་བྱས་སོ།,,,,,,,,
,,,།དེའི་ཚེ་བཅོམ་ལྡན་འདས་བཞུགས་ཁང་གི་ཕྱི་རོལ་བླ་གབ་མེད་པ་ན་གྲགས་པ་སྒུག་པའི་ཕྱིར་ཞབས་འཆག་ཅིང་བཞུགས་སོ། །དེས་ཀྱང་ཆུའི་ཕ་ཁ་ནས་མཐོང་སྟེ།  དགེ་སྦྱོང་ཆེན་པོ་བདག་ནི་གཙེས་སོ། །བདག་ནི་ཉམས་སོ། །ཞེས་སྐད་ཕྱུང་ངོ་།,,,,,,,,
,,,།བཀའ་སྩལ་པ།  གཤོན་ནུ་ཚུར་ཤོག  གནས་འདི་ནི་ཁྱོད་ལ་འཚེ་བ་མེད་པ་ཡིན།  ཉམས་པ་མེད་པ་ཡིན་ནོ།,,,,,,,,
,,,།དེ་ན་གྲགས་པས་རིན་པོ་ཆེའི་ལྷམ་ཆུ་འགྲམ་དུ་ཕུད་དེ་བོར་ནས་ཆུ་ལ་བརྒལ་ཏེ་སྟོན་པའི་སྤྱན་སྔར་འོངས་ཏེ་ཞབས་ལ་ཕྱག་བྱས།  དེ་ནས་ནང་དུ་གཤེགས་ནས་ཆོས་བསྟན་པས།  གྲགས་པ་སྟན་དེ་ལ་འཁོད་བཞིན་དུ་བདེན་པ་མཐོང་ཞིང་།  སྐྱབས་སུ་འགྲོ་བ་བླངས་སོ།,,,,,,,,
,,,།དེ་ནས་ཁྱིམ་དུ་བྲན་མོ་ཞིག་གིས་གྲགས་པ་སོང་བར་ཤེས་ནས་ཇོ་བོ་ལ་སྦྲན་པས།  ཁྱིམ་བདག་རིགས་ཀྱི་གཙོ་བོ་ཉིད་སྒྲོན་མེ་ཐོགས་པའི་མི་དང་ལྷན་ཅིག་ཏུ་འཚོལ་ཞིང་སོང་།  རྟ་པ་དག་ཀྱང་གྲགས་པ་འཚོལ་བའི་ཕྱིར་བཀྱེའོ།,,,,,,,,
,,,"།དེ་ནས་ཆུ་འགྲམ་དུ་ནོར་བུའི་ལྷམ་མཐོང་བས་དོགས་པ་དང་བཅས་བཞིན་དུ་ཆུ་བརྒལ་ཏེ་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་སོང་ངོ་།
",,,,,,,,
,,,།དེའི་ཚེ་རིགས་ཀྱི་གཙོ་བོས་གྲགས་པ་མི་མཐོང་བར་བྱིན་གྱིས་བརླབས་ནས།  བཅོམ་ལྡན་འདས་གཤོན་ནུ་གྲགས་པ་གཟིགས་སམ་ཞེས་ཞུས་པས།  བཀའ་སྩལ་པ།  ཁྱིམ་བདག་དེའི་ཕྱིར་སྡོད་ཅིག །སྟན་འདི་ལ་འཁོད་བཞིན་དུ་གྲགས་པ་མཐོང་བར་འགྱུར་བའི་གནས་ཡོད་དོ།,,,,,,,,
