Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,8,,བརྒྱད་པ་དྲང་སྲོང་ཆེན་པོས་ལུང་བསྟན་པ་སོགས་ནི།,Chapter 8: The sage Asita's predictions,,,Vol. Ka (1) and vol. Kha (2) pp. 12-13. ,,"Vinayavastu (Saṃghabhedavastu): vol. 3(Ga), 284b.4-287b.1",,,"<svg xmlns='http://www.w3.org/2000/svg'><g><path xmlns='http://www.w3.org/2000/svg' d='M9542.7,4431.3c-1.3-4.7-2-8.7-3.3-13.3c-8.7-35.3-48.7-53.3-80-53.3s-71.3-13.3-88.7-18c-18-4.7-84.7,44.7-106.7,26.7c-22-18-62-13.3-111.3-18c-48.7-4.7-115.3,40-155.3,88.7c-40,48.7-93.3-6.7-93.3-6.7c-53.3-40-8.7-51.3,13.3-82c22-31.3,13.3-75.3-8.7-115.3c-22-40-48.7-66.7-84.7-88.7c-26-16-93.3-20-35.3-86.7c0,0,20-6.7,40-11.3s38-24.7,38-24.7s-8.7-62,2-75.3c11.3-13.3,13.3-53.3,13.3-60s-64.7-102-44.7-108.7s60,44.7,78,48.7c18,4.7,46.7,4.7,46.7,4.7s38-42,53.3-66.7c15.3-24.7,55.3-80,86.7-80c31.3,0,84.7,2,98,8.7s78,66.7,93.3,93.3s88.7,153.3,135.3,151.3c46.7-2,128.7,13.3,144.7,31.3c15.3,18,26.7,64.7,58,51.3c31.3-13.3,88.7-2,98,15.3c8.7,18,44.7,124.7,33.3,142c-11.3,18-75.3,64.7-82,93.3c-6.7,28.7-22,98-28.7,115.3S9544,4436,9542.7,4431.3z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/><path xmlns='http://www.w3.org/2000/svg' d='M18690,2326.7c0,0,80-6.7,93.3,20s26.7,71.3,71.3,93.3c44.7,22,58,31.3,53.3,88.7c-4.7,58-44.7,106.7-26.7,133.3c18,26.7,44.7,84.7,48.7,138c4.7,53.3,0,146.7,66.7,120s111.3-80,164.7-31.3c53.3,48.7,80,133.3,80,178s8.7,106.7,4.7,133.3s-31.3,62-4.7,71.3c26.7,8.7,151.3,18,151.3,18l235.3,186.7c0,0,133.3,22,151.3,13.3c18-8.7,62-31.3,88.7-26.7c26.7,4.7,162,35.3,154.7,51.3s5.3,64.7-25.3,64.7c-31.3,0-306.7-18-306.7-18l-4.7,413.3l-995.3-22c0,0,13.3-751.3,13.3-818S18690,2326.7,18690,2326.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/><path xmlns='http://www.w3.org/2000/svg' d='M3110,3646.7c-7.3,6-14,12-19.3,20c-26.7,40-35.3,26.7-26.7,80c8.7,53.3,4.7,75.3-26.7,84.7c-31.3,8.7-106.7-35.3-93.3,4.7s26.7,53.3,18,98c-8.7,44.7-71.3,75.3-62,133.3s44.7,124.7,31.3,178s-13.3,66.7-62,84.7c-48.7,18-133.3,8.7-155.3,66.7c-22,58-40,75.3-13.3,115.3s18,102,4.7,133.3c-13.3,31.3-48.7,31.3-75.3,88.7s-8.7,138,0,173.3c8.7,35.3,0,62,18,88.7s18,88.7,22,115.3c4.7,26.7,8.7,93.3,13.3,124.7c4.7,31.3-35.3,66.7-53.3,40c-18-26.7-66.7-151.3-75.3-182s-53.3-186.7-71.3-222c-18-35.3-62-62-106.7-111.3c-44.7-48.7-138-173.3-168.7-208.7c-31.3-35.3-98-53.3-120-88.7c-22-35.3-44.7-231.3-80-302s-111.3-204.7-226.7-271.3s-324.7-111.3-413.3-111.3s-195.3,18-235.3-8.7s-128.7-98-173.3-128.7c-44.7-31.3-115.3-48.7-151.3-80s-40-84.7-84.7-106.7c-44.7-22-102-88.7-115.3-120s-31.3-235.3-146.7-378c-41.3-51.3-193.3-80-193.3-80l-1.3-0.7l17.3-564.7c0,0,40.7-190,57.3-219.3c17.3-28.7,6-115.3,34.7-150c28.7-34.7,80.7-63.3,109.3-92c28.7-28.7,52-86.7,86.7-115.3c34.7-28.7,57.3-63.3,98-74.7c40.7-11.3,46-28.7,69.3-57.3s52-52,104-86.7s92-40.7,69.3-92c-23.3-52-14.7-152,20-186.7c34.7-34.7,107.3-75.3,142-115.3s10.7-124,33.3-141.3s63.3-80.7,92-104c28.7-23.3,188.7-90,252-101.3s162.7,3.3,226.7,32.7c63.3,28.7,74.7,80.7,92,121.3c17.3,40.7,52,46,80.7,80.7c28.7,34.7,57.3,92,52,132.7s11.3,57.3,74.7,74.7c63.3,17.3,109.3,57.3,126.7,86.7c17.3,28.7,26.7,65.3,107.3,94c80.7,28.7,75.3,8.7,120,53.3c20.7,20.7-13.3,88.7,13.3,138c10,18,74,68.7,98,84.7c26.7,18,71.3,35.3,115.3,98c25.3,36,15.3,90,26.7,124.7c11.3,34.7,26.7,146,50,174.7c23.3,28.7,62.7,104,120,172.7c0,0-32,48,3.3,66c35.3,18,124.7,35.3,128.7,71.3c4.7,35.3,26.7,71.3,62,88.7c35.3,18,93.3,58,128.7,66.7c35.3,8.7,120,44.7,164.7,62c44.7,18,102,44.7,155.3,40c46-4,82,0,120-4c20-2.7,173.3,42,188.7,50.7c15.3,8.7,113.3,38,144.7,46.7c31.3,8.7,240,38,264.7,38c24.7,0,106.7,11.3,131.3,42c24.7,31.3,51.3,61.3,35.3,104.7c-13.3,35.3-110,78-158,98c-53.3,22-127.3,100.7-160,131.3c-35.3,33.3-78,246.7-135.3,304.7c-58,58-266.7,204.7-408.7,198c-142-6.7-280-18-291.3-13.3C3116.7,3635.3,3110,3646.7,3110,3646.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/><path xmlns='http://www.w3.org/2000/svg' d='M11430.7,4256c-23.3,2-50,11.3-63.3,26c-18.7,20,1.3,58.7-6.7,78.7s-38.7,28-72,34.7s-38.7,50-46.7,68s-65.3,80-65.3,80s0,33.3,1.3,45.3s36.7,61.3,40,73.3s5.3,8,21.3,8s34.7,3.3,53.3,13.3s28,41.3,36.7,60s54.7,100,72,123.3s63.3,56.7,74.7,70s74.7,40,74.7,40s25.3-6.7,33.3-13.3s16.7-25.3,26.7-28s52,13.3,61.3,18.7s30,8,30,8l32,14.7c0,0,30,1.3,36.7,3.3s41.3,5.3,56.7,6.7s23.3,30,20,38.7s32-12,43.3-18.7s48-32,48-32c13.3-8,36.7,6.7,41.3-1.3l8,2.7c3.3,1.3,6.7,2,10.7,2c31.3,0,62,0,62,0s115.3,98,142,155.3c22.7,49.3,28.7,64.7,24.7,91.3c-4.7,26.7,28.7,35.3,42,53.3c13.3,18,26.7,64.7,26.7,64.7l44.7,13.3c0,0,328.7,53.3,408.7,66.7s48.7-40,53.3-62s193.3-183.3,226.7-190s210,0,256.7-3.3s273.3-23.3,273.3-23.3s0,40-3.3,73.3s3.3,43.3-6.7,80s323.3-13.3,360-10s323.3-30,323.3-30s-40-683.3-66.7-683.3s66.7-6.7,66.7-6.7l10-20c0,0,50-3.3,83.3,0s186.7-23.3,200-30s-23.3-40-56.7-40s-66.7-13.3-96.7-20s-53.3,13.3-73.3,33.3s-73.3-13.3-103.3-36.7s-23.3-46.7-20-66.7s-23.3-90-30-106.7s-63.3-60-73.3-70s206.7-93.3,223.3-116.7s146.7-86.7,176.7-120s50-76.7,50-116.7s-66.7-83.3-90-96.7s-50-30-66.7-53.3s-33.3-40-50-66.7s-60-126.7-80-146.7s10-43.3,33.3-63.3s43.3-36.7,66.7-53.3s63.3-33.3,90-46.7s90-26.7,120-43.3s-33.3-73.3-40-93.3s23.3-43.3,43.3-53.3s63.3-46.7,63.3-70s-33.3-3.3-80,10s-93.3,66.7-103.3,113.3s-66.7,93.3-100,116.7s-126.7,0-143.3-3.3s-90-53.3-110-70s-93.3-50-120-60s-40,6.7-33.3,20s26.7,63.3,13.3,110s-243.3,60-243.3,60c-106.7,20-396.7,36.7-436.7,36.7s-316.7,36.7-316.7,36.7c-76.7,10-388.7,103.3-490,90c-125.3-16.7-134.7-23.3-203.3-23.3c-11.3,0-113.3,73.3-146.7,206.7c-15.3,60.7-91.3,103.3-190,110c-118.7,8-216.7-13.3-252,1.3c-62,26.7-41.3,174.7-50.7,210.7c-8.7,35.3-40,75.3-66.7,84.7s-80,22-80,22s-44.7,8.7-93.3,18c-48.7,8.7-48.7,48.7-18,62c10.7,4.7,58.7,18,81.3,31.3L11430.7,4256z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></g></svg>"
A,8,,དེ་ནས་དྲང་སྲོང་ཉོན་མོངས་མེད་སློབ་མ་མི་བྱིན་དང་ལྷན་ཅིག་བྱང་ཆུབ་སེམས་དཔའ་ལྟ་བའི་ཕྱིར་ཆས་པ་ན།,"In the company of his disciple Naradatta, Asita the sage set out to behold the face of the Bodhisattva.",,,དེ་ནས་གྲོང་ཁྱེར་སེར་སྐྱའི་བཀོད་པ་གཞན་ཞིག་གི་ཁང་བཟང་དུ། ཡབ་ཀྱི་སྐུ་པང་དུ་བཞུགས་པ་ལ། མདུན་དུ་དྲང་སྲོང་ཁ་དོག་མི་ཤ་ཁ་ནག་པོ། རལ་པ་སེར་སྐྱ་འཛིངས་ཤིང་ཁ་སྤུ་ནག་པོ་ཅན།  ཚངས་སྐུད་དང་དབྱུག་གུ་སྤྱི་བླུགས་ཡོད་པ། རྒན་པའི་ཆ་བྱད་ཅན་ཞིག་གི་བྱང་ཆུབ་སེམས་དཔའ་ལ་ལྟ་ཞིང་། ལག་པ་གཡས་ཅུང་ཟད་སྒྲེང་བ་དང་། ཕྱོགས་གཞན་ཞིག་ཏུ་དྲང་སྲོང་དེ་རྒྱལ་པོའི་དྲུང་དུ་མཆིལ་མ་འདོན་པའི་ཚུལ་བྱ་བ་དང་། ཕོ་བྲང་དེའི་ཕྱི་རོལ་ན་དྲང་སྲོང་དེ་ཚུར་ཡོང་དུས་ཀྱུས་མ་ཡོང་བ་དང་། ཕར་འགྲོ་དུས་ནི་སྒོའི་ཕྱི་ནས་དར་རས་སོགས་སྐྱང་བའི་སྟེང་། དེ་དང་ཉེ་བའི་བྲག་ཕུག་གཅིག་ཏུ་དེ་ཉིད་བསམ་གཏན་ལ་གནས་པའི་ཚུལ་དང་། དེའི་མདུན་དུ་དྲང་སྲོང་གཞོན་ནུ་གཅིག་འབྲི། དེ་དག་ནི་ལྷུམས་སུ་ཞུགས་པ་དང་བལྟམས་པའི་སྐོར་རོ།།   ༼ཁ༽དེ་ནས་མ་མ་བརྒྱས་སྐོར་བའི་བྱང་ཆུབ་སེམས་དཔའ་བྱིས་པའི་ཚུལ་གྱི་གསེར་གྱི་གཞོང་པ་ཤིན་ཏུ་ཆེ་བ་འབྲས་ཀྱིས་བཀང་བ། ཕྱོགས་གཅིག་ནས་གླང་པོ་ཆེ་མང་པོ་ལ་བཏགས་ལ། བྱང་ཆུབ་སེམས་དཔའ་ཁྱེའུའི་ཕྱག་མཛུབ་གཅིག་གིས། གཞོང་པ་ནས་འཐེན་པས། གླང་པོ་ཆེ་རྣམས་ཀྱང་འདྲེད་སྟབས་སུ་ཚུར་དྲུད་པ། འབྲས་ཆེན་ནས་གསོལ་བའི་རྣམ་པ་ཡང་འབྲི་སྟེ། ཕྱག་གཡོན་པས་སྣོད་ནས་འཐེན་ཚུལ་དང། གཡས་པས་གསོལ་བའི་རྣམ་པ་བྱས་ན་ལེགས།,"In Kapilavastu, in a mansion, the Buddha sits the king's lap. A sage looks at the Buddha and slightly held up his right hand. He is an old man with dark skin, unkempt grayish yellow hair, and black moustache. He carries a brahma thread, cane, and sacred water vase and pills (spyi blugs). When the sage is on his way to the palace, he is treated as an ordinary visitor. But when he leaves, he walks on the silk spread on the path spread outside the palace gate. In a cave, the sage abides in samadhi with a young man before him. [Vol. Kha (2)]: The Buddha is surrounded by a hundred nannies. There is a large golden tray filled with rice.  One side of the tray is tied to a flock of elephants with ropes. When the Buddha pulls the tray with one finger, he also pulls away all the elephants. The Buddha drinks rice gruel. It is better if the Buddha pulls the bowl with left hand and eats right-handed.",284b.4-5,,
A,8,,ཇི་ཙམ་བར་དུ་རྫུ་འཕྲུལ་གྱིས་འོངས་ཀྱང་།,The two hermits completed the greater part of their journey by flying through the air;,,,,,284b.5,,
A,8,,སེར་སྐྱ་དང་ཉེ་བར་སླེབ་པ་ན།  བྱང་ཆུབ་སེམས་དཔའི་གཟི་བྱིན་གྱིས་ནོན་ཏེ།,"but when they reached the outskirts of Kapilavastu, the Bodhisattva's involuntary magnificence radiated from him with such intensity that their magical powers faded away.",,,,,284b.5-6,,
A,8,,རྫུ་འཕྲུལ་གྱིས་འགྲོ་བར་མ་ནུས་ནས་རྐང་གིས་སོང་སྟེ།  གྲོང་ཁྱེར་སེར་སྐྱའི་ཕོ་བྲང་གི་སྒོར་སོན་པ་དང་།,"Thus when they arrived at the city gates, they did so on foot.",,,,,284b.6,,
A,8,,སྒོ་བ་ལ་སྦྲན་ནོ།,"They made themselves known to the guard,",,,,,284b.6,,
A,8,,།དེས་ཀྱང་རྒྱལ་པོ་ལ་རིག་པར་བྱས་པ་ན།,who informed the king.,,,,,284b.7,,
A,8,,རྒྱལ་པོས་བཀུར་བསྟི་དང་བཅས་ཏེ་ནང་དུ་སྤྱན་དྲངས།,Shuddhodana came to welcome the distinguished sage with all due ceremony.,,,,,284b.7-285a.1,,
A,8,,སྟན་མཆོག་ལ་བཞུགས་སུ་གསོལ།,"He begged him to be seated upon a raised throne,",,,,,285a.1,,
A,8,,ཡང་དག་པའི་གཏམ་གྱིས་ཀུན་དུ་དགའ་བར་བྱས་ཏེ།  དྲང་སྲོང་ཆེན་པོ་དགོས་པ་ཅི་ཞིག་གི་ཕྱིར་འདིར་བྱོན།,"and after greeting him cordially, courteously asked the reason for his visit.",,,,,285a.1-2,,
