Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,12,,བཅུ་གཉིས་པ་ཤིང་དགེ་བའི་སྙིང་པོའི་གཏམ་ནི།,"Chapter 12 - The tale of the good-hearted tree ",,,Vol. Ga (3) pp. 14-15.,,"Vinayavastu (Saṃghabhedavastu): vol. Ga, 290a.6-291a.6",,,"<svg xmlns='http://www.w3.org/2000/svg'><g><path xmlns='http://www.w3.org/2000/svg' d='M19814.7,8442c20-6.7,40.7-23.3,58-37.3c26.7-22,60-46.7,75.3-62c35.3-35.3,88.7-75.3,133.3-111.3c44.7-35.3,35.3-84.7,53.3-128.7c18-44.7-35.3-124.7-58-155.3c-22-31.3-4.7-84.7,0-164.7c4.7-80,13.3-58-22-102c-22.7-28-26.7-40-22-71.3c1.3-8.7,2.7-17.3,2.7-26.7c0,0,92.7,40,124,40s199.3-78,258-120c71.3-51.3,293.3-182,328.7-240c35.3-58,58-133.3,62-182c4.7-48.7-8.7-124.7-8.7-124.7s66.7,26.7,98,53.3c31.3,26.7,160,66.7,208.7,84.7s231.3,102,333.3,160s226.7,168.7,253.3,248.7s58,186.7,44.7,271.3s-8.7,182-53.3,222c-44.7,40-106.7,58-120,98s-35.3,155.3-84.7,160s-88.7-13.3-115.3-53.3s-35.3-62-66.7-44.7c-31.3,18-200,111.3-226.7,128.7c-26.7,18-71.3,71.3-102,71.3c-31.3,0-191.3,35.3-222,40c-31.3,4.7-106.7,13.3-124.7,8.7c-18-4.7-53.3-18-53.3-18s-62,71.3-164.7,80C20301.3,8475.3,19814.7,8442,19814.7,8442z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/><path xmlns='http://www.w3.org/2000/svg' d='M23681.3,10282l1631.3-28.7c0,0,73.3-46.7,86.7-62c13.3-15.3,118-102,142-113.3c24.7-11.3,95.3-62,106.7-91.3c11.3-28.7,24.7-86.7,33.3-100c8.7-13.3,15.3-68.7,18-93.3s-26.7-93.3-48.7-118c-22-24.7-86.7-100-102-133.3c-15.3-33.3-82-208.7-84.7-228.7c-2-20-31.3-60,38-108.7c68.7-48.7,175.3-126.7,198-148.7c22-22,55.3-44.7,28.7-78s-108.7-104.7-118-126.7c-8.7-22-15.3-71.3,4.7-93.3c20-22,82-73.3,93.3-84.7c11.3-11.3,35.3-33.3,15.3-51.3c-20-18-60-42-51.3-71.3c8.7-28.7,148.7-195.3,126.7-304.7s-38-295.3-164.7-440s-164.7-226.7-268.7-246.7s-240,48.7-302,42c-62-6.7-311.3-53.3-382-126.7c-74-76-153.3-164.7-195.3-186.7c-42-22-151.3-64.7-175.3-88.7c-24.7-24.7-86.7-124.7-113.3-131.3s-66.7-2-91.3,15.3c-24.7,18-26.7,33.3-75.3,6.7c-48.7-26.7-206.7-98-240-118s-104.7-71.3-198-86.7s-335.3-64.7-378-82c-42-18-328.7-155.3-451.3-188.7c-122-33.3-380-51.3-486.7-33.3c-106.7,18-218,48.7-233.3,71.3c-15.3,22-33.3,166.7-13.3,215.3c20,48.7,55.3,302,62,342s26.7,244.7,66.7,275.3s80,66.7,100,106.7s58,148.7,135.3,186.7c78,38,133.3,64.7,171.3,51.3s46.7-22,82,0c35.3,22,95.3,64.7,98,95.3s26.7,93.3,46.7,113.3s78,71.3,71.3,108.7c-6.7,38-75.3,68.7-58,115.3s53.3,95.3,71.3,120c18,24.7,33.3,80,71.3,86.7c38,6.7,155.3,24.7,180,11.3c24.7-13.3,86.7-66.7,155.3-48.7c68.7,18,33.3-18,93.3,48.7s100,102,126.7,131.3s131.3,131.3,115.3,204.7s-26.7,82-71.3,100c-50,20-120-6.7-128.7,24.7c-8.7,31.3-15.3,78-20,106.7c-4.7,28.7-48,74.7-75.3,91.3c-33.3,20-40,115.3-20,146.7c25.3,40,371.3,691.3,375.3,708.7C23683.3,10013.3,23681.3,10282,23681.3,10282z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></g></svg>"
A,12,,གང་གི་ཚེ།  ཆོས་ཉིད་ཀྱིས་སངས་རྒྱས་འཇིག་རྟེན་དུ་བྱུང་བ་ན་ཤིང་དགེ་བའི་སྙིང་པོ་ཞེས་བྱ་བ་འབྱུང་ངོ་།,"Every time that a buddha appears on earth, a tree of the  'good-hearted' kind springs up.",,,ཤིང་སྡོང་ཆེན་པོ་ཞིག་འགྱེལ་བས། རྒྱུག་ཆུ་བཀག་སྟེ། གྲོང་ཁྱེར་ཕྱོགས་གཅིག་ལ་ཆུ་ཉེན་ཡོད་པ་དང་། ཤིང་དེ་ལ་སྐྱེ་བོ་མང་པོས་འཐེན་པའི་ཚུལ་དང་། དེའི་ཕྱོགས་གཅིག་ནས་སྦྲུལ་ནག་པོ་ཞིག་བྱུང་བ། གཞོན་ནུ་མཛེས་པ་ཐོད་བཅིངས་པ་ཞིག་གི་རལ་གྲིས་སྐེད་པ་ནས་བཅད་པ་དང་། ལྷས་བྱིན་གྱི་ངང་པ་ལ་མདའ་འཕངས་ནས་ས་ལ་ལྷུང་བ། བྱང་ཆུབ་སེམས་དཔས་གསོས་པ་དང་། བྱང་ཆུབ་སེམས་དཔས་ཤིང་སྡོང་དེ་ཕྱག་ཡ་གཅིག་གིས་ནམ་མཁའ་ལ་འཕེན་པ་དང་།  ཤིང་སྡོང་དེ་དུམ་བུ་གཉིས་སུ་སོང་ནས་ཆུ་འགྲམ་གཡས་གཡོན་དུ་ལྷུང་པ་དང་།,"A falling large tree cuts off the river causing the danger of the flooding in one part of the city. Many men are pulling out the tree. A black snake emerges, but a young man with a turban cuts it at the waist with a sword. Devadetta shoots a goose down with an arrow. The Buddha heals the wound on the goose. The Buddha grabs the tree and throws it up in the air with one hand. The tree breaks into halves, with a piece fall on each side of the river.",290a.6-7,,
A,12,,།དེའི་ཕྱིར་གྲོང་ཁྱེར་སེར་སྐྱའི་གཞི་དང་ལྷས་བསྟན་གྱི་བར་དུ་འབབ་ཆུ་རོ་ཧི་ཀའི་འགྲམ་ན་ཤིང་དགེ་བའི་སྙིང་པོ་དེ་བྱུང་ནས།,"And so it was that between Kapilavastu and Devadaha, on one of the banks of the river Rohitaka (Ro hi ta ka), a tree of that sort appeared.",,,,,290a.7-290b.1,,
A,12,,ཉི་མ་གཅིག་ལ་ཡང་ཁྲུ་བརྒྱར་སྐྱེ་བ།,In a single day it grew a hundred cubits.,,,,,290a.7,,
A,12,,དེ་རིང་སྐྱེས་པ་རྣམས་ནངས་པར་ཉི་མ་མ་ཤར་བར་དུ་སེན་མོས་ཀྱང་བཅད་དུ་རུང་ལ།,"If you wished to encircle one of its twigs with your fingers, you had to do it before the following daybreak.",,,,,290a.7,,
A,12,,དེ་ནས་མཚོན་གྱིས་ཀྱང་མི་ཆོད།,Wait longer than that and no tool or weapon could make an impression on it—,,,,,290a.7,,
A,12,,མེས་ཀྱང་མི་འཚིག་པ་ཞིག་ཡོད་དོ།,even an outbreak of fire could not destroy it.,,,,,290a.7,,
A,12,,།དུས་དུས་སུ་ཆུ་ཀླུང་འབྲུབས་པས་ཤིང་དེའི་རྩ་བའི་ས་རྣམས་དྲུས་ཏེ་,From time to time Rohitaka would burst its banks and wash away the soil covering the good-hearted tree's roots.,,,,,290b.1,,
A,12,,བར་སྐབས་དེར་རླུད་གི་ཤུགས་ཀྱིས་འགྱེལ་བས་ཆུ་བཅད་དེ།,"This happened so often that one day, during a raging tempest, the tree got uprooted and fell in such a way that it dammed up the river.",,,,,290b.1,,
A,12,,ལྷས་བསྟན་དུ་ནི་ཆུ་དཀོན་ལ།,[The two cities' inhabitants felt the adverse effects of that:] Devadaha suffered from lack of water,,,,,290b.1,,
