Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes, SVG Info
B,28,,ཉེར་བརྒྱད་པ་ཆོས་འཁོར་ཐོག་མ་བསྐོར་བ་ནི།,Chapter 28: The First Turning of the Wheel,,,Vol. Ta (9) p. 20.,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 41a.7-45b.5",,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M10769,8086c4,28,13.6,34.8,7.2,89.2c-11.6,96.4-64.8,168.4-96,252c-48,129,45,210,104.6,260.8c79,67.2,0,234,180,312c180,78,726,138,762,150c36,12-18,60-72,120c-54,60-130,152-184,182c-54,30-211.6,193.2-298.6,217.2c-89.6,24.8-366,9-432,9s-266.8-44.4-375-42c-132,3-324.4-30.2-468.6-60.2s-392.4-56.8-468-48c-29.8,3.4-119.4,48.2-179.4,54.2c-60,6-162-6-162-6c-5.8-5.2-77-9.4-84-12c-66-24-77.8-19.6-126-57c-54-42-126-138-162-168c-36-30-132-33-186-75c-54-42-66-45-126-81c-60-36-180.8-9.2-234.8,2.8c-54,12-120,72-162,90c-42,18-90-18-126-72c-36-54-53.2-71.8-185.2-137.8s-147-39-195-63c-48-24-45-141-69-183c-24-42,18-114,17-168.2c-0.8-48.4-4-93.4-12-156c-7.4-57.8-143.4-41.8-167.4-121.8c0,0-40-100-40-168s8-164,0-216s-28-180,48-228s96-56,132-96s104-132,144-156s136-140,144-192s-36-92-4-132s88-32,112-92s4-76-8-112s28-108,24-152s-16-136,24-172s144-28,164-84s24-140,28-172s12-100,56-140s12-96,52-140s76-80,92-100s72-100,72-100s56-112,72-120s83.4,4.8,104,20c26.2,19.2,60.2,93.2,92.2,109.2s63.8,38.8,151.8,38.8s129.2-16.8,145.2-32.8s18.8-35.2,58.8-47.2s115.2-33.8,157.2-51.8c31.6-13.6,18.8-40.2,82.8-52.2s146.6,89.2,204,64c88.2-38.8,88.2-89.8,172-112c78.2-20.8,198.2-19.8,273.2,28.2c47.6,30.4,105,84,142.8,143.8c64.2,101.6,13.2,197.2,97.2,237.2s118.8-5.2,210.8,34.8s206,149.2,252,196c53.2,54.2,150.2,180.2,194.2,252.2s78,222,42,345c-14.2,48.6-96,66-165,165c-33.4,47.8-59.2,125.8-31.2,229.8s136,408,160,488S10769,8086,10769,8086z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
B,28,,དེ་ནས་ཝཱ་རཱ་ཎ་སིར་བྱོན་ཏེ།,Then he went to Varanasi.,,,དེ་ནས་ཝ་ར་ནཱ་སིའི་ཕྱོགས་ལ་དྲང་གྲོང་ལྷུང་བ་རི་དྭགས་ཀྱི་ནགས་ཏེ། རི་ཆུང་ལ་ནགས་ཡོད་པ་ཞིག་ཏུ། འཁོར་ལྔ་སྡེ་ཀུན་ཏུ་རྒྱུའི་ཆ་བྱད་ཅན་རྣམས་ཀྱི་སངས་རྒྱས་རྒྱང་རིང་པོ་ནས་འབྱོན་པ་ལྟ་ཞིང། ཕན་ཚུན་དུ་གཏམ་སྨྲ་བའི་ཚུལ་དང་། འཁྲིས་སུ་བྱོན་པ་ན། གཅིག་གི་གདན་གདིང་།  གཅིག་གི་ཞུ་བ་ཞུ། གཅིག་གི་ཞབས་བཀྲུ། གཅིག་གིས་བསུ་བ་བྱེད། གཅིག་གིས་ཕྱག་འཚལ་ཞིང་། ན་བཟའ་འཁུར་བའི་ཚུལ་བྱེད། དེ་ནས་ཕྱོགས་གཅིག་ཏུ་ཕ་བོང་འདྲ་བ་ཞིག་གི་སྟེང་དུ་སྟོན་པ་བཞུགས་ཤིང་། ལྔ་སྡེ་དགེ་སློང་གི་རྣམ་པ་ཅན་གྱི་ཆོས་ཉན་པའི་ཚུལ་དང་། གཡས་གཡོན་དང་ནམ་མཁའ་ནས་ལྷ་ཆོས་ཉན་པའི་ཚུལ་མང་དུ་བྱ། ཡང་ཕྱོགས་གཅིག་ཏུ། སྟོན་པའི་དྲུང་དུ་དགེ་སློང་གསུམ་འདུག་ཅིང་། དགེ་སློང་གཉིས་ཀྱི་གྲོང་ཁྱེར་ནས་བསོད་སྙོམས་ལེན་པའི་ཚུལ་དང་། ཡང་དེ་དང་ཉེ་བ་ན།,"In a small forest, (drang srong lhung ba ri dwags kyi nags), near Varanisi, the five disciples wait and see the Buddha in the distance coming towards them. When the Buddha arrives, one disciple greets, one spreads the mattress, one reports to him, one washes his feet, one prostrates and carries his shawl. the Buddha sits on a boulder and teaches dharma to the five disciples as in the form of fully ordained monks.  Gods from above and gods on the left and right sides listen to the Buddha teaching dharma. Three monks visit the Buddha while two monks beg for alms in the city.",,,
B,28,,དེའི་ཚེ་དྲང་སྲོང་ལྷུང་བ་རི་དྭགས་ཀྱི་ནགས་ན་ལྔ་སྡེ་དག་འཁོད་པས།,At that time the group of five [ascetics] were dwelling in Mṛgadāvarṣipatana.,,,,,,,
B,28,,དེ་བཞིན་གཤེགས་པ་འབྱོན་པ་རྒྱང་རིང་པོ་ནས་མཐོང་སྟེ་ཕན་ཚུན་དུ་ཁྲིམས་སུ་བཅས་པ།,"Seeing the Thus Gone One coming from a long way off, they resolved among themselves,",,,,,,,
B,28,,གཽ་ཏ་མ་བྱ་བ་མང་པོ་མང་པོས་འཚོ་བ་དེ་འོང་གི,"“the one called Gotama, the decadent, is coming.",,,,,,,
B,28,,།དེ་ལ་སྨྲ་བར་མི་བྱ། ཕྱག་མི་བྱ།  ལྡང་བར་མི་བྱ།  སྟན་བསྟབ་པར་མི་བྱའོ།,Don’t speak to him. Don’t pay reverence to him. Don’t rise for him. Don’t give him a seat.,,,,,,,
B,28,,།དེ་ནས་བཅོམ་ལྡན་འདས་ཁད་ཉེ་བར་བྱོན་པ་ན་གཟི་བརྗིད་མ་བཟོད་དེ།,When the Buddha approached them they could not bear his splendor.,,,,,,,
B,28,,ཐམས་ཅད་ལངས་ཤིང་ཕྱག་ཕུལ་ནས།,All arose and offered reverence to him.,,,,,,,
B,28,,གཅིག་གིས་ནི་གདན་བཤོམས།,One prepared a seat.,,,,,,,
B,28,,གཅིག་གིས་ནི་བསུས་ཏེ་ན་བཟའ་བླངས།,One went to him and took his robe.,,,,,,,
B,28,,ཁ་ཅིག་གིས་ནི་ཞབས་བཀྲུས།,One bathed his feet.,,,,,,,
